id,nombre,direccion,tipo_actividad,recoleccion,telefono,email,responsable_ambiente,cuit,sector,localidad_id
47,CONSULTORIO MEDICO,Av. Roca 353 6º piso. Of. B,Consultorio médico,3 X SEMANA,4458868,s/d,Juarez Manuel Sebastian,,,2
48,CONSULTORIO MEDICO DE LA MUJER,28 de Julio 348,Consultorio médico,3 X SEMANA,4450136,njgambande@hotmail.com,Gambande Nelida Josefina,,,2
49,CONSULTORIO MEDICO DR. ARCE,Estivariz 197,Consultorio médico,3 X SEMANA,154507777,drfla@yahoo.com,Arce Fernando Luís,,,2
50,CONSULTORIO MEDICO FERNANDEZ,Belgrano 198,Consultorio médico,3 X SEMANA,4457579,s/d,Fernández Ana Maria ,,,2
51,Consultorio Médico LLapemn,H. Yrigoyen 673. 1piso. Of. 2,Consultorio Médico,3 X SEMANA,4475692 - 154292477,hcorbalanc2@hotmail.com,Corbalan Hugo ,,,2
52,CONSULTORIO MEDICO: ABRANY,Mitre 107 - 5º Piso,Consultorio médico,3 X SEMANA,4472627,s/d,Abrany Fortunato,,,2
53,CONSULTORIO MEDICO: ALEJANDRO BLUM ,Av. Roca 353. Piso 7,Consultorio médico,3 X SEMANA,4472223 - 4474344,aymblum@yahoo.com.ar,Blum Alejandro ,,,2
54,CONSULTORIO MEDICO: FARJA,s/d,Consultorio médico,3 X SEMANA,s/d,s/d,Farja Carlos ,,,2
55,CONSULTORIO NEUROREHABILITACION,Villarino 250,Consultorio médico,3 X SEMANA,154585142,pauslu@hotmail.com.ar,Slucinse Paula,,,2
56,CONSULTORIO ODONTOLOGICO,Sarmiento 181,Consultorio odontológico,3 X SEMANA,s/d,s/d,Santano Matias ,,,2
57,CONSULTORIO ODONTOLOGICO ARRECHEA,Roque S. Peña 399,Consultorio odontológico,3 X SEMANA,4454774,s/d,Arrechea Ismael Lisandro ,,,2
58,CONSULTORIO ODONTOLOGICO COSENTINO,Agustin Pujol 706,Consultorio odontológico,3 X SEMANA,154455539,centrodeortodonciacr@gmail.com,Cosentino Lorena Andrea ,,,2
59,CONSULTORIO ODONTOLOGICO CRISTINA ALCUAZ ,Sarmiento 181,Consultorio odontológico,3 X SEMANA,4456324,s/d,Alcuaz Maria  ,,,2
60,CONSULTORIO ODONTOLOGICO GIORDANO,Roque S. Peña 399,Consultorio odontológico,3 X SEMANA,s/d,s/d,Giordano Silvina ,,,2
61,CONSULTORIO ODONTOLOGICO GONZALEZ PUNTER,Roque S. Peña 399,Consultorio odontológico,3 X SEMANA,4454774,s/d,Gonzalez Punter Mauricio,,,2
62,CONSULTORIO ODONTOLOGICO HIGUERA,Roque S. peña 399,Consultorio odontológico,3 X SEMANA,154418505,s/d,Higuera Magdalena,,,2
63,CONSULTORIO ODONTOLOGICO LAURA GUERRERO ,Sarmiento 181,Consultorio odontológico,3 X SEMANA,4456324,s/d,Guerrero Laura ,,,2
64,CONSULTORIO ODONTOLOGICO LAZARO,Agustin Pujol 706,Consultorio odontológico,3 X SEMANA,154360418 - 4457974,s/d,Lazaro Andrea Laura ,,,2
65,CONSULTORIO ODONTOLOGICO MACCIONE,25 de Mayo 1254,Consultorio odontológico,3 X SEMANA,4457630,madryndent@yahoo.com, Macchione Victorio,,,2
66,CONSULTORIO ODONTOLOGICO MARIO MARIN ,Sarmiento 181,Consultorio odontológico,3 X SEMANA,4456324,s/d,Marin Mario ,,,2
67,CONSULTORIO ODONTOLOGICO MILANESIO,25 de Mayo 484,Consultorio odontológico,3 X SEMANA,s/d,s/d,Milanesio Natalia,,,2
68,CONSULTORIO ODONTOLOGICO MONICA SEGOVIA,Av. Roca 353 entrepiso oficina 11,Consultorio odontológico,3 X SEMANA,4452072,dramonicasegovia@yahoo.com.ar,Segovia Mónica ,,,2
69,CONSULTORIO ODONTOLOGICO QUAINTENNE,25 de Mayo 1254,Consultorio odontológico,3 X SEMANA,4457630,s/d,Quaintenne Pablo R. ,,,2
70,CONSULTORIO ODONTOLOGICO REDONDO,28 de Julio 247 1ºB,Consultorio odontológico,3 X SEMANA,4456192,consultorioesteticadental@hotmail.com,Redondo Carlos Alcides,,,2
71,CONSULTORIO ODONTOLOGICO SANTANO,Mitre 477,Consultorio odontológico,3 X SEMANA,154946432,s/d,Santano Matias Ezequiel,,,2
72,CONSULTORIO ODONTOLOGICO SEMPER NATALIA,Triunvirato 286,Consultorio odontológico,3 X SEMANA,154600340,dra.nataliasemper@yahoo.com.ar,Semper Natalia,,,2
73,CONSULTORIO ODONTOLOGICO: Baggio,Love Parry 109,Consultorio odontológico,3 X SEMANA,4458428,maferbaggio@yahoo.com.ar,Baggio Maria Fernanda,,,2
74,CONSULTORIO ODONTOLOGICO: Kfuri,Love Parry 109,Consultorio odontológico,3 X SEMANA,4458428,s/d,Kfuri Natalia ,,,2
75,CONSULTORIO ODONTOLÓGICO: LOPEZ GERARDO,Av. Roca 353 Entrepiso A,Consultorio odontológico,3 X SEMANA,154577931,gerarlopez@hotmail.com,Lopez Gerardo,,,2
76,CONSULTORIO ODONTOLOGICO: Ruiz,Love Parry 109,Consultorio odontológico,3 X SEMANA,4458428,s/d,Ruiz Daniel C.,,,2
77,CONSULTORIO ODONTOLOGICO: Savachuck,28 de julio 348,Consultorio odontológico,3 X SEMANA,4450135,s/d,Savachuck Marcio ,,,2
78,CONSULTORIO ODONTOLOGICO: Vera,Av. Roca 353 - entrepiso - Dto. A,Consultorio odontológico,3 X SEMANA,4456026,verapablo@gmail.com,Vera Pablo ,,,2
79,CONSULTORIO ODONTOLOGICO: Ziegenbalg,s/d,Consultorio odontológico,3 X SEMANA,s/d,s/d,Ziegenbalg Carina,,,2
80,CONSULTORIO OFTALMOLOGICO DE ALTA COMPLEJIDAD,25 de mayo 560,Consultorio médico,DIARIA,4471282,s/d,Mazzeo Maria Gabriela,,,2
81,CONSULTORIO ORTODONCIA: Monsalve,Av. Roca 353. Piso 8. Of. 3,Consultorio odontológico,3 X SEMANA,4472872,s/d,Monsalve Miriam Zulli ,,,2
82,CONSULTORIO PILAR,España 125,Consultorio médico,3 X SEMANA,4455821,s/d,Garcia Perez Fernando,,,2
83,CONSULTORIO PRIVADO: Calandra,Av. Roca 353 4º piso dpto 4,Consultorio odontológico,DIARIA,4475566,alfredocalandra@speedy.com.ar,Calandra Alfredo,,,2
84,CONSULTORIO PSICOLOGICO,San Martin 286,Consultorio psicologico,3 X SEMANA,154205483,s/d,Vera Maria Agustina Marta ,,,2
85,CONSULTORIO PSICOLOGICO ,Belgrano 198,Consultorio psicologico,3 X SEMANA,154613102,s/d,Medici Analia,,,2
86,CONSULTORIO PSICOLOGICO: Guañabens,Av. Roca 353 Piso Nº 3 Ofic. 2,Consultorio médico,3 X SEMANA,154666527,s/d,Guañabens Pablo,,,2
87,CONSULTORIO PSICOLOGICO: Medici,Belgrano 198 oficina 9,Consultorio médico,3 X SEMANA,154613102,s/d,Medici Analía Verónica,,,2
88,CONSULTORIO REY ,Albarracin 264,Consultorio odontológico,3 X SEMANA,154722514,s/d,Rey Alberto Sebastián,,,2
89,CONSULTORIO TRAUMATOLOGÍA: Barbosa,25 de Mayo 1094,Consultorio médico,3 X SEMANA,4457333,s/d,Barbosa Lucas Martin ,,,2
90,CONSULTORIO: IRIARTE,Sarmiento 79,Consultorio médico,3 X SEMANA,4451657,s/d,Iriarte Juan Carlos  ,,,2
91,CONSULTORIOS BAROS,Av. Gales 486,Consultorio médico,3 X SEMANA,154546862,s/d,Taiariol Maria Teresa,,,2
92,CONSULTORIOS DEL CENTRO ,28 de Julio 329,Consultorio médico,3 X SEMANA,4474118,consul.centro@hotmail.com,Saenz Hernan Jose,,,2
93,CONSULTORIOS DEL MAR,Roca 791,Consultorio odontológico,3 X SEMANA,***,malcuaz@hotmail.com,Alcuaz Maria Cristina,,,2
94,CONSULTORIOS DEL PILAR,España 125,Consultorio médico,3 X SEMANA,4455821,s/d,Garcia Perez Fernando,,,2
95,CONSULTORIOS DEL SOL,Av. Roca 2506,Consultorio médico,3 X SEMANA,154633318,consdelsol@gmail.com,Duscher Paola,,,2
96,CONSULTORIOS MEDICOS DE HERNANDEZ Y TOYPELLA,Av. Roca 353. 1º Piso. Dto 4,Consultorio médico,3 X SEMANA,4472626,s/d,Hernandez Rodolfo y Toypella Mabel,,,2
97,CONSULTORIOS MEDICOS: Pajariño,s/d,Consultorio médico,3 X SEMANA,s/d,s/d,Pajariño Susana Beatriz,,,2
98,CONSULTORIOS MITRE,Mitre 143 locales 5-6-9,Consultorio médico,3 X SEMANA,4476262,s/d,Gomez Anibal Gabriel ,,,2
99,CONSULTORIOS SUR,Mitre 536,Consultorio odontológico,3 X SEMANA,154511367,monicaplano@hotmail.com.ar,Plano Mónica Mariana,,,2
100,CRUZ AZUL S.H.,Sarmiento 79,Consultorio médico,DIARIA,4451657,s/d,Iriarte Juan Carlos  ,,,2
101,CUARTA DIMENSIÓN TATTO 1,9 de Julio 52,Tatuajes,3 X SEMANA,154656556,s/d,León Gustavo Felipe y León Laura,,,2
102,CUARTA DIMENSIÓN TATTO 2,9 de Julio 52,Tatuajes,3 X SEMANA,154656556,s/d,León Marcelo y León Gabriela,,,2
103,DE ANNA OFELIA DELFINA,Marcos A. Zar 253,Consultorio médico,3 X SEMANA,4471821,ofelia.de.anna@gmail.com,De Anna Ofelia Delfina,,,2
104,DESCUBREPUENTES SRL,Rawson 1241,Consultorio médico,3 X SEMANA,154564069,s/d,Gonzalo Puntillo,,,2
105,DIOGENES,28 de julio 457,Veterinaria,3 X SEMANA,154411024,mascomadryn@hotmail.com,Gallego Maria  Beatriz,,,2
106,ENTRELAZADAS CONSULTORIOS,Av. Gales 545,Consultorio médico,3 X SEMANA,154564333 - 154606042,entrelazadas@live.com.ar,Lopez Romina,,,2
107,ENTRELAZADAS CONSULTORIOS,Av. Gales 545,Consultorio médico,3 X SEMANA,154606042,entrelazadas@live.com.ar,Bellorini Mariana,,,2
108,ENTRELAZADAS CONSULTORIOS,Av. Gales 546,Consultorio médico,3 X SEMANA,154381320,s/d,Santos Maria Nelida,,,2
109,ENTRELAZADAS CONSULTORIOS,Av. Gales 547,Consultorio médico,3 X SEMANA,154573613,s/d,Altube Mara Lia,,,2
110,ESTANCIA MADRYN ,Rosales 541,Hogar de ancianos,DIARIA,4472744,estanciamadryn@arnet.com.ar,Estancia Madryn S.A,,,2
111,ESTUDIO ECO ,Gob. Maiz 225 Of. 1,Consultorio médico,3 X SEMANA,154344117,maryottoclaps@hotmail.com,Claps Maria Sol- Bares Conrado,,,2
112,FARMA SRL - FARMACIAS PATAGONICAS,San Martin y 28 de julio ,Farmacia,3 X SEMANA,4453708,pedidos28dejulio@farmaciaspatagonicas.com,Amoroso Sergio,,,2
113,FARMA SRL - FARMACIAS PATAGONICAS,Av. Roca 315,Farmacia,3 X SEMANA,4474555,costanera@farmaciaspatagonicas.com,Querol Fernandez Pablo,,,2
114,FARMA SRL - FARMACIAS PATAGONICAS,Av. Roca 315,Farmacia,3 X SEMANA,4474555,costanera@farmaciaspatagonicas.com,Querol Fernandez Pablo,,,2
115,FARMACIA ALZA,Villarino 746,Farmacia,3 X SEMANA,0291-154271532,ezealza@hotmail.com,Alza Roberto Ezequiel,,,2
116,FARMACIA AMPAL,Uruguay 211,Farmacia,3 X SEMANA,2804457927,farmacia@ampal.org.ar,Filippini Silvina P.,,,2
117,FARMACIA CENTRAL,25 de Mayo 272,Farmacia,3 X SEMANA,4454804,grujana@farcentral.com.ar,Rujana Gerardo,,,2
118,FARMACIA CENTRAL Y PERFUMERIA PM S.R.L,Av.Gales 701,Farmacia,3 X SEMANA,4473124,sucursalatlantica@farcentral.com.ar,Irrazabal Cintia,,,2
119,FARMACIA CURCIO,Av. Juan Muzzio 412,Farmacia,3 X SEMANA,154689449,s/d,Curcio Adrian Ulises,,,2
120,FARMACIA DASU,Marcos A. Zar 297,Farmacia,3 X SEMANA,4470247,s/d,Morbidoni Gabriela,,,2
121,FARMACIA DEL GOLFO,Pedro Derbes 480,Farmacia,3 X SEMANA,154456383,farmaciadelgolfo@gmail.com,Galar Maria Eugenia,,,2
122,FARMACIA DOMECQ GARCIA,Domecq García 401,Farmacia,3 X SEMANA,4457771,farmadomecq@hotmail.com,Julio Aldo Ruben,,,2
123,FARMACIA EVA SH,España 1530,Farmacia,3 X SEMANA,154209707 - 4470361,leslietomasroberts@gmail.com,Roberts Leslie Tomás,,,2
124,FARMACIA GALES,Av. Roca 2438,Farmacia,3 X SEMANA,4456288,farmaciagales@speedy.com.ar,Grassl Ana Maria,,,2
125,FARMACIA GLOBAL,Av. Gales 1310,Farmacia,3 X SEMANA,s/d,mlanz@farmaciasglobal.com.ar,Lanz Mauro,,,2
126,FARMACIA GLOBAL,Mitre 357,Farmacia,3 X SEMANA,4458254,madrynmitre357efarmavasglobal.com.ar,Casimano Georgina,,,2
127,FARMACIA LA GUARDIA,H.Yrigoyen 802,Farmacia,3 X SEMANA,4455825,s/d,Grzeszuk Elena Nieves,,,2
128,FARMACIA MENDEZ,Domecq Garcia 356,Farmacia,3 X SEMANA,154416946,gladys@hotmail.com,Mendez Beatriz,,,2
129,FARMACIA MODERNA,Mitre 502,Farmacia,3 X SEMANA,4473788,s/d,Ada Manuela Sassi,,,2
130,FARMACIA OESTE,25 de Mayo 59,Farmacia,3 X SEMANA,4451119,farmacia.oeste@speedy.com.ar,Demasi Gustavo,,,2
131,FARMACIA PROSALUD,Mitre 719,Farmacia,3 X SEMANA,4473895,amatinleiva@hotmail.com,Leiva Angel Martin,,,2
132,FARMACIA SAN CAYETANO,Pedro Derbes 480,Farmacia,3 X SEMANA,154377401,jmtortola@hotmail.com,Tortola Jorge M.,,,2
133,FERNANDEZ GISELA EDITH ,Av. Roca 353 Piso 7 Of. 4,Consultorio odontologico,3 X SEMANA,154006624,s/d,Fernandez Gisela Edith,,,2
134,FKT PATAGONIA,Alem 255,Kinesiología,3 X SEMANA,154593374,fktpatagonia@gmail.com,Williams Erica,,,2
135,FUNDACION EL SOLAR,Marcos A. Zar 243,Hogar de ancianos,DIARIA,154551182,patriciae@hotmail.com.ar,Barac Patricia ,,,2
136,GABINETE DE KINESIOLOGIA,Marcos A. Zar 24,Consultorio médico,3 X SEMANA,154572722,s/d, Garcia Gustavo Marcelo,,,2
137,GATICA PAOLA,Av. Gales 246,Consultorio odontológico,3 X SEMANA,s/d,s/d,Gatica Paola,,,2
138,IDECH S.R.L.,Juan B. Justo 496,Centro de diagnóstico,DIARIA,4474338 - 4450548,idechpmsrl@speedy.com.ar,Massenzio Alejandro,,,2
139,IKAP,Paulina Escardo 177,Consultorio médico,3 X SEMANA,154314265,williams_mariela@hotmail.com,Williams Nilda Mariela,,,2
140,INSTITUTO PRIVADO DE ANALISIS CLINICOS,25 de Mayo 408,Laboratorio de análisis clínicos,DIARIA,4454777,pedrolodes@gmail.com,Lodes Pedro Alfredo ,,,2
141,IPAMER S.R.L.,25 de mayo 969,Consultorios Médicos y Laboratorio ,DIARIA,154313663,marcela0103@yahoo.com.ar,Iglesias Nelida Marcela,,,2
142,IPRO SRL,Albarracin 336,Consultorio odontológico,3 X SEMANA,4471226 - 4476138,ipro@speedy.com.ar,Barrientos Ermes Rene,,,2
143,IPRO SRL,Albarracin 357,Servicios de diagnosticos por imágenes,3 X SEMANA,4471226 - 4451184,administracion@ipromadryn.com.ar,Barrientos Ermes Rene,,,2
144,IREZUMI TATOO,Marcos A. Zar 705,Tatuajes,3 X SEMANA,154604005,s/d,Castel Juan Ignacio,,,2
145,JURE LUIS CESAR,Villarino 297,Consultorio odontológico,3 X SEMANA,4454610,consultoriojure@yahoo.com.ar,Jure Luis Cesar,,,2
146,KIAK,H. Yrigoyen 820,Consultorio médico,3 X SEMANA,154565572,s/d,Francisquelo Mariana Elisa,,,2
147,KIDET,Av. Gales 24,Kinesiología,3 X SEMANA,s/d,s/d,Monochio Nicolas,,,2
148,KINAR,Newbery 609 esquina Alvear,Consultorio médico,3 X SEMANA,154664870,kinasur@yahoo.com.ar,Sosa Gerardo Fabian,,,2
149,KINEA ,España  1242,Kinesiología,3 X SEMANA,154607217,s/d,Arce Elizabeth del Carmen,,,2
150,KINESIOLOGIA ,25 de Mayo 1094,Consultorio médico,3 X SEMANA,4457333,cesarhar@hotmail.com,Harguimteguy Cesar,,,2
151,KINESIS,Av. Roca 2573,Consultorio de kinesiologia,3 X SEMANA,154563150,s/d,Nudelman Matias,,,2
152,KINETIC,San Martin 286,Consultorio médico,3 X SEMANA,154513001,agustinadelrio@hotmail.com,Del Río Maria Agustina ,,,2
153,LABOR AUSTRAL,Laprida 42,Consultorio médico,DIARIA,4457378 - 4475789,gerencialabaustral@speedy.com.ar,Kanter Beatriz May ,,,2
154,LABORAL MADRYN S.H.,Albarracin 335,Consultorio médico,3 X SEMANA,4475721,laboralmadryn@hotmail.com,Stenti Beatriz,,,2
155,LABORATORIO BIOMADRYN,25 de Mayo 125. 1º Piso,Laboratorio de análisis clínicos,DIARIA,4471116 - 154454505,lbearzi@biomadryn.com.ar,Bearzi Wargon Liliana ,,,2
156,LABORATORIO BIOSUD DE VALERIA KOWALJOW,Laprida 42,Laboratorio de análisis clínicos,DIARIA,4470163,biosud@speedy.com.ar,Kowaljow Valeria ,,,2
157,LABORATORIO BRIVEL,Sarmiento 676,Laboratorio de análisis clínicos,DIARIA,154621937,labritos@yahoo.com,Britos Manriquez Lucas Federico,,,2
158,LABORATORIO CLINICO DE PUERTO MADRYN ,Estivariz 260,Laboratorio de análisis clínicos,DIARIA,154369903,mcpretell@gmail.com, Pretell Mariana,,,2
159,LABORATORIO DE ANALISIS CLINICOS,Gob. Maiz 830,Laboratorio de analisis clinicos,DIARIA,4454505,s/d,Beazzi Liliana,,,2
160,LABORATORIO DE ANALISIS CLINICOS,Mitre 476 PB,Laboratorio de análisis clínicos,DIARIA,4456291,quiros.gustavo@gmail.com,Quiros Gustavo  ,,,2
161,LABORATORIO DE ANALISIS CLINICOS ,Sarmiento 125,Laboratorio de análisis clínicos,DIARIA,4450709,labruiz-heck@hotmail.com,Ruiz Ana Maria,,,2
162,LABORATORIO DEL CENTRO,28 de Julio 329,Laboratorio de análisis clínicos,DIARIA,4456398,lbearzi@biomadryn.com.ar,Bearzi Wargon Liliana,,,2
163,LABORATORIO SAN JOSE,Juan B. Justo 799,Laboratorio de analisis clinicos,DIARIA,154001174,s/d,Rodriguez Calvo Vilma - Veliz Oscar Enrique,,,2
164,LACyB SH,9 de Julio 458,Laboratorio de análisis clínicos,DIARIA,4471082,lacybsh@speedy.com.ar,Santamaría Emilio,,,2
165,LOPEZ MARIA LAURA,25 de Mayo 364. 1º Piso. Of. 3,Consultorio odontológico,3 X SEMANA,2262610990,mlaura_164@hotmail.com,Lopez Maria Laura,,,2
166,LOS CHARITOS,Juan B. Justo 1366,Veterinaria,3 X SEMANA,4475638,s/d,Melchi Marcelo ,,,2
167,LOS PARAISOS,Los Olmos 2225,Hogar de ancianos,DIARIA,44533851,crisjuulzbogado@hotmail.com,Bogado Cristina,,,2
168,LUCKY TATTOO ESTUDIO,Av. Roca 904 local 2,Tatuajes,3 X SEMANA,154636049,laureano@gmail.com,Ortega Laureano,,,2
169,LUCKY TATTOO STUDIO,Av. Roca 904 ,Tatuajes,3 X SEMANA,154636049,laureanoo@gmail.com,Ortega Laureano,,,2
170,LUZ DE ESPERANZA,Arrayanes 3925,Hogar de ancianos,DIARIA,154027668,s/d,Zappella Roberto Daniel,,,2
171,MANUEL VILLEGAS,Av. Gales 246,Consultorio odontológico,3 X SEMANA,4456611,manuvillegas@hotmail.com,Villegas Manuel,,,2
172,MARIA BELEN MATTEO,Av. Roca 353 Piso Nº 1,Consultorio odontológico,3 X SEMANA,381154012318,s/d,Matteo Maria Belen,,,2
173,MATICES,Villegas 507,Consultorio médico,3 X SEMANA,4455372 -154720451,msaborit@hotmail.com, Saborit Calvo Maria Belen,,,2
174,MEC,Mendoza 950,Consultorio Medico,3 X SEMANA,4453774,s/d,Campos Aldo Ruben,,,2
175,MEDICINA LABORAL SAN CAMILO,Mitre 650,Consultorio médico,3 X SEMANA,4472291,federicoditata@hotmail.com,Buschittari Viviana,,,2
